Product Name,Product Image,Long Description,Short Description,Regular Price,Sale Price,Width,Length,Category,Tags
Berg (BLACKOUT),https://images-na.ssl-images-amazon.com/images/I/71iTHKO-iwL._SX466_.jpg,"Light Filtering Allure Sheer Shades are also known as transitional shades. They offer both sheer and light filtering fabrics in the same shade, creating a zebra-like pattern.Ê","Light Filtering Allure Sheer Shades are also known as transitional shades. They offer both sheer and light filtering fabrics in the same shade, creating a zebra-like pattern.Ê",184,,24,36,Roller Shade,Blinds
Berg (BLACKOUT),,,,201,,24,37,Roller Shade,Blinds
Berg (BLACKOUT),,,,201,,24,38,Roller Shade,Blinds
Berg (BLACKOUT),,,,201,,24,39,Roller Shade,Blinds
Berg (BLACKOUT),,,,201,,24,40,Roller Shade,Blinds
Berg (BLACKOUT),,,,201,,24,41,Roller Shade,Blinds
Berg (BLACKOUT),,,,201,,24,42,Roller Shade,Blinds
Berg (BLACKOUT),,,,201,,24,43,Roller Shade,Blinds
Berg (BLACKOUT),,,,201,,24,44,Roller Shade,Blinds
Berg (BLACKOUT),,,,201,,24,45,Roller Shade,Blinds
Berg (BLACKOUT),,,,201,,24,46,Roller Shade,Blinds
Berg (BLACKOUT),,,,201,,24,47,Roller Shade,Blinds
Berg (BLACKOUT),,,,201,,24,48,Roller Shade,Blinds
Berg (BLACKOUT),,,,208,,24,49,Roller Shade,Blinds
Berg (BLACKOUT),,,,208,,24,50,Roller Shade,Blinds
Berg (BLACKOUT),,,,208,,24,51,Roller Shade,Blinds
Berg (BLACKOUT),,,,208,,24,52,Roller Shade,Blinds
Berg (BLACKOUT),,,,208,,24,53,Roller Shade,Blinds
Berg (BLACKOUT),,,,208,,24,54,Roller Shade,Blinds
Berg (BLACKOUT),,,,208,,24,55,Roller Shade,Blinds
Berg (BLACKOUT),,,,208,,24,56,Roller Shade,Blinds
Berg (BLACKOUT),,,,208,,24,57,Roller Shade,Blinds
Berg (BLACKOUT),,,,208,,24,58,Roller Shade,Blinds
Berg (BLACKOUT),,,,208,,24,59,Roller Shade,Blinds
Berg (BLACKOUT),,,,208,,24,60,Roller Shade,Blinds
Berg (BLACKOUT),,,,220,,24,61,Roller Shade,Blinds
Berg (BLACKOUT),,,,220,,24,62,Roller Shade,Blinds
Berg (BLACKOUT),,,,220,,24,63,Roller Shade,Blinds
Berg (BLACKOUT),,,,220,,24,64,Roller Shade,Blinds
Berg (BLACKOUT),,,,220,,24,65,Roller Shade,Blinds
Berg (BLACKOUT),,,,231,,24,66,Roller Shade,Blinds
